titulo,dataAssistido,anoDeLancamento,idioma,diretor,genero,duracao
The Polar Express,30/04/2021,2004,Inglês,Robert Zemeckis,"Animação, Aventura, Comédia",100
Moneyball,01/05/2021,2011,Inglês,Bennett Miller,"Biografia, Drama, Esporte",133
Hotel Transylvania,01/05/2021,2012,Inglês,Genndy Tartakovsky,"Animação, Comédia, Família",91
Hotel Transylvania 2,02/05/2021,2015,Inglês,Genndy Tartakovsky,"Animação, Comédia, Família",89
O Melhor Verão das Nossas Vidas,03/05/2021,2020,Português (Brasileiro),Adolpho Knauth,Comédia,98
Despicable Me,05/05/2021,2010,Inglês,"Chris Renaud, Pierre Coffin","Animação, Comédia, Crime",95
The Lorax,12/05/2021,2012,Inglês,Chris Renaud,"Animação, Aventura, Comédia",86
Monsters vs. Aliens,12/05/2021,2009,Inglês,"Conrad Vernon, Rob Letterman","Animação, Ação, Aventura",94
They Live,12/05/2021,1988,Inglês,John Carpenter,"Ação, Horror, Ficção científica",94
Despicable Me 2,14/05/2021,2013,Inglês,"Pierre Coffin, Chris Renaud","Animação, Aventura, Comédia",98
Son of Batman,17/05/2021,2014,Inglês,Ethan Spaulding,"Animação, Ação, Aventura",74
Batman: Assault on Arkham,17/05/2021,2014,Inglês,"Jay Oliva, Ethan Spaulding","Animação, Ação, Aventura",76
O Animal Cordial,17/05/2021,2017,Português (Brasileiro),Gabriela Amaral Almeida,"Horror, Thriller",98
Cabras da Peste,17/05/2021,2021,Português (Brasileiro),Vitor Brandt,"Ação, Comédia, Crime",97
Batman vs. Robin,18/05/2021,2015,Inglês,Jay Oliva,"Animação, Ação, Aventura",80
"Socorro, Virei uma Garota",18/05/2021,2019,Português (Brasileiro),Leandro Neri,"Comédia, Fantasia",110
Batman Unlimited: Animal Instincts,21/05/2021,2015,Inglês,Butch Lukic,"Animação, Ação, Aventura",78
Batman Unlimited: Monster Mayhem,22/05/2021,2015,Inglês,Butch Lukic,"Animação, Ação, Aventura",81
Marriage Story,22/05/2021,2019,Inglês,Noah Baumbach,"Comédia, Drama, Romance",137
"Viajo Porque Preciso, Volto Porque Te Amo",26/05/2021,2009,Português (Brasileiro),"Karim Ainouz, Marcelo Gomes",Drama,75
M8 - Quando a Morte Socorre a Vida,28/05/2021,2020,Português (Brasileiro),Jeferson De,Drama,84
Batman Unlimited: Mechs vs. Mutants,13/06/2021,2016,Inglês,Curt Geda,"Animação, Ação, Ficção científica",72
Batman: Bad Blood,14/06/2021,2016,Inglês,Jay Oliva,"Animação, Ação, Aventura",72
O Candidato Honesto,22/06/2021,2014,Português (Brasileiro),Roberto Santucci,Comédia,110
Carandiru,29/06/2021,2003,Português (Brasileiro),Hector Babenco,"Drama, Crime",145
BlacKkKlansman,29/06/2021,2018,Inglês,Spike Lee,"Biografia, Comédia, Crime",135
Meu Nome Não é Johnny,01/07/2021,2008,Português (Brasileiro),Mauro Lima,"Biografia, Crime, Drama",124
